text,cleaning,case_folding,tokenizing,normalisasi,label,topic
Salut sama emman orang filipina yang mau tetap stay di btr .belajar dari kekalahan dullu goodjob,Salut sama emman orang filipina yang mau tetap stay di btr belajar dari kekalahan dullu goodjob,salut sama emman orang filipina yang mau tetap stay di btr belajar dari kekalahan dullu goodjob,"['salut', 'sama', 'emman', 'orang', 'filipina', 'yang', 'mau', 'tetap', 'stay', 'di', 'btr', 'belajar', 'dari', 'kekalahan', 'dullu', 'goodjob']","['salut', 'sama', 'emman', 'orang', 'filipina', 'yang', 'mau', 'tetap', 'stay', 'di', 'btr', 'belajar', 'dari', 'kekalahan', 'dullu', 'goodjob']",Non-Toxic,-1
"Gg bgt btr,congrats ko ed penungguan yg sangat² lama daei s1 ggwp mor🔥🔥🔥",Gg bgt btrcongrats ko ed penungguan yg sangat lama daei s ggwp mor,gg bgt btrcongrats ko ed penungguan yg sangat lama daei s ggwp mor,"['gg', 'bgt', 'btrcongrats', 'ko', 'ed', 'penungguan', 'yg', 'sangat', 'lama', 'daei', 's', 'ggwp', 'mor']","['gg', 'banget', 'btrcongrats', 'ko', 'ed', 'penungguan', 'yang', 'sangat', 'lama', 'daei', 's', 'ggwp', 'mor']",Non-Toxic,-1
Akhirnya gw nonton mpl lagi setelah sekian lama nyimak my SM ph..ada yg menarik season ini,Akhirnya gw nonton mpl lagi setelah sekian lama nyimak my SM phada yg menarik season ini,akhirnya gw nonton mpl lagi setelah sekian lama nyimak my sm phada yg menarik season ini,"['akhirnya', 'gw', 'nonton', 'mpl', 'lagi', 'setelah', 'sekian', 'lama', 'nyimak', 'my', 'sm', 'phada', 'yg', 'menarik', 'season', 'ini']","['akhirnya', 'gue', 'nonton', 'mpl', 'lagi', 'setelah', 'sekian', 'lama', 'nyimak', 'my', 'sama', 'phada', 'yang', 'menarik', 'season', 'ini']",Non-Toxic,-1
Alhamdulillah btr juara🎉setelah sekian lama gw nungguin momen ini😮‍💨,Alhamdulillah btr juarasetelah sekian lama gw nungguin momen ini,alhamdulillah btr juarasetelah sekian lama gw nungguin momen ini,"['alhamdulillah', 'btr', 'juarasetelah', 'sekian', 'lama', 'gw', 'nungguin', 'momen', 'ini']","['alhamdulillah', 'btr', 'juarasetelah', 'sekian', 'lama', 'gue', 'nungguin', 'momen', 'ini']",Non-Toxic,-1
"seruuuu bangett, ga bkin bosenn krna stiap match berbeda hero. gg btr 🎉",seruuuu bangett ga bkin bosenn krna stiap match berbeda hero gg btr,seruuuu bangett ga bkin bosenn krna stiap match berbeda hero gg btr,"['seruuuu', 'bangett', 'ga', 'bkin', 'bosenn', 'krna', 'stiap', 'match', 'berbeda', 'hero', 'gg', 'btr']","['seruuuu', 'bangett', 'tidak', 'bkin', 'bosenn', 'krna', 'stiap', 'match', 'berbeda', 'hero', 'gg', 'btr']",Non-Toxic,-1
"Gg BTR NT ONIC, saking konsistennya onic sampai sekarang bisa dibalap sama tim lain",Gg BTR NT ONIC saking konsistennya onic sampai sekarang bisa dibalap sama tim lain,gg btr nt onic saking konsistennya onic sampai sekarang bisa dibalap sama tim lain,"['gg', 'btr', 'nt', 'onic', 'saking', 'konsistennya', 'onic', 'sampai', 'sekarang', 'bisa', 'dibalap', 'sama', 'tim', 'lain']","['gg', 'btr', 'nt', 'onic', 'saking', 'konsistennya', 'onic', 'sampai', 'sekarang', 'bisa', 'dibalap', 'sama', 'tim', 'lain']",Non-Toxic,-1
Baru Kali ini Salaman akhir di Grandfinal ga ada yang murung,Baru Kali ini Salaman akhir di Grandfinal ga ada yang murung,baru kali ini salaman akhir di grandfinal ga ada yang murung,"['baru', 'kali', 'ini', 'salaman', 'akhir', 'di', 'grandfinal', 'ga', 'ada', 'yang', 'murung']","['baru', 'kali', 'ini', 'salaman', 'akhir', 'di', 'grandfinal', 'tidak', 'ada', 'yang', 'murung']",Non-Toxic,-1
Sekian lama. GOODLUCK EMANN,Sekian lama GOODLUCK EMANN,sekian lama goodluck emann,"['sekian', 'lama', 'goodluck', 'emann']","['sekian', 'lama', 'goodluck', 'emann']",Non-Toxic,-1
finally btr bbbbbbbonjourrrrr with style,finally btr bbbbbbbonjourrrrr with style,finally btr bbbbbbbonjourrrrr with style,"['finally', 'btr', 'bbbbbbbonjourrrrr', 'with', 'style']","['finally', 'btr', 'bbbbbbbonjourrrrr', 'with', 'style']",Non-Toxic,-1
"akhirnya ada warna baru MPL Indo, bukan ngebosenin yg sudah langganan dihajar team luar",akhirnya ada warna baru MPL Indo bukan ngebosenin yg sudah langganan dihajar team luar,akhirnya ada warna baru mpl indo bukan ngebosenin yg sudah langganan dihajar team luar,"['akhirnya', 'ada', 'warna', 'baru', 'mpl', 'indo', 'bukan', 'ngebosenin', 'yg', 'sudah', 'langganan', 'dihajar', 'team', 'luar']","['akhirnya', 'ada', 'warna', 'baru', 'mpl', 'indo', 'bukan', 'ngebosenin', 'yang', 'sudah', 'langganan', 'dihajar', 'team', 'luar']",Non-Toxic,-1
"""analisis MPL ID S17""
Tinggal nunggu videonya 🗿",analisis MPL ID S Tinggal nunggu videonya,analisis mpl id s tinggal nunggu videonya,"['analisis', 'mpl', 'id', 's', 'tinggal', 'nunggu', 'videonya']","['analisis', 'mpl', 'id', 's', 'tinggal', 'nunggu', 'videonya']",Non-Toxic,-1
​ @AkaZusha  tenanggggg nunggu EWC dulu biar Setara Mas Ade🗿😹,tenanggggg nunggu EWC dulu biar Setara Mas Ade,tenanggggg nunggu ewc dulu biar setara mas ade,"['tenanggggg', 'nunggu', 'ewc', 'dulu', 'biar', 'setara', 'mas', 'ade']","['tenanggggg', 'nunggu', 'ewc', 'dulu', 'biar', 'setara', 'mas', 'ade']",Non-Toxic,-1
​ @AkaZusha  berarti taktik btr-nya di bocorin dong mas. Auto dipecat,berarti taktik btrnya di bocorin dong mas Auto dipecat,berarti taktik btrnya di bocorin dong mas auto dipecat,"['berarti', 'taktik', 'btrnya', 'di', 'bocorin', 'dong', 'mas', 'auto', 'dipecat']","['berarti', 'taktik', 'btrnya', 'di', 'bocorin', 'dong', 'mas', 'auto', 'dipecat']",Non-Toxic,-1
YouTuber kecil ternyata Analisis yang juara 🗿😹,YouTuber kecil ternyata Analisis yang juara,youtuber kecil ternyata analisis yang juara,"['youtuber', 'kecil', 'ternyata', 'analisis', 'yang', 'juara']","['youtuber', 'kecil', 'ternyata', 'analisis', 'yang', 'juara']",Non-Toxic,-1
hertod winrate mplnya 100% jirr,hertod winrate mplnya jirr,hertod winrate mplnya jirr,"['hertod', 'winrate', 'mplnya', 'jirr']","['hertod', 'winrate', 'mplnya', 'jirr']",Non-Toxic,-1
​ @lyfed2566 dari dulu penjelasan dia tuh bahasa nya bagus banget mudah dimengerti,dari dulu penjelasan dia tuh bahasa nya bagus banget mudah dimengerti,dari dulu penjelasan dia tuh bahasa nya bagus banget mudah dimengerti,"['dari', 'dulu', 'penjelasan', 'dia', 'tuh', 'bahasa', 'nya', 'bagus', 'banget', 'mudah', 'dimengerti']","['dari', 'dulu', 'penjelasan', 'dia', 'tuh', 'bahasa', 'nya', 'bagus', 'banget', 'mudah', 'dimengerti']",Non-Toxic,-1
Suaranya hertod kedengaran walau dibaca doang,Suaranya hertod kedengaran walau dibaca doang,suaranya hertod kedengaran walau dibaca doang,"['suaranya', 'hertod', 'kedengaran', 'walau', 'dibaca', 'doang']","['suaranya', 'hertod', 'kedengaran', 'walau', 'dibaca', 'doang']",Non-Toxic,-1
Wkwk kepikiran juga komen gini,Wkwk kepikiran juga komen gini,wkwk kepikiran juga komen gini,"['wkwk', 'kepikiran', 'juga', 'komen', 'gini']","['wkwk', 'kepikiran', 'juga', 'komen', 'gini']",Non-Toxic,-1
hertod effect😂,hertod effect,hertod effect,"['hertod', 'effect']","['hertod', 'effect']",Non-Toxic,-1
Gilaa si hertod baru join analisis mpl langsung juara hhhhhhh gokil lu...,Gilaa si hertod baru join analisis mpl langsung juara hhhhhhh gokil lu,gilaa si hertod baru join analisis mpl langsung juara hhhhhhh gokil lu,"['gilaa', 'si', 'hertod', 'baru', 'join', 'analisis', 'mpl', 'langsung', 'juara', 'hhhhhhh', 'gokil', 'lu']","['gilaa', 'si', 'hertod', 'baru', 'join', 'analisis', 'mpl', 'langsung', 'juara', 'hhhhhhh', 'gokil', 'lu']",Non-Toxic,-1
bangga bngt gila,bangga bngt gila,bangga bngt gila,"['bangga', 'bngt', 'gila']","['bangga', 'bngt', 'gila']",Non-Toxic,-1
konteks hertod?,konteks hertod,konteks hertod,"['konteks', 'hertod']","['konteks', 'hertod']",Non-Toxic,-1
​ @kh.fajrii heroisgod atau dikenal hertod saat ini merupakan analyst dari team btr. Dia masuk di pertengahan musim. Dan ini menjadi debut dia menjadi analyst dan berhasil juara. Bro turun tangan menjadi analyst tim mpl untuk menghentikan liga tani😂,fajrii heroisgod atau dikenal hertod saat ini merupakan analyst dari team btr Dia masuk di pertengahan musim Dan ini menjadi debut dia menjadi analyst dan berhasil juara Bro turun tangan menjadi analyst tim mpl untuk menghentikan liga tani,fajrii heroisgod atau dikenal hertod saat ini merupakan analyst dari team btr dia masuk di pertengahan musim dan ini menjadi debut dia menjadi analyst dan berhasil juara bro turun tangan menjadi analyst tim mpl untuk menghentikan liga tani,"['fajrii', 'heroisgod', 'atau', 'dikenal', 'hertod', 'saat', 'ini', 'merupakan', 'analyst', 'dari', 'team', 'btr', 'dia', 'masuk', 'di', 'pertengahan', 'musim', 'dan', 'ini', 'menjadi', 'debut', 'dia', 'menjadi', 'analyst', 'dan', 'berhasil', 'juara', 'bro', 'turun', 'tangan', 'menjadi', 'analyst', 'tim', 'mpl', 'untuk', 'menghentikan', 'liga', 'tani']","['fajrii', 'heroisgod', 'atau', 'dikenal', 'hertod', 'saat', 'ini', 'merupakan', 'analyst', 'dari', 'team', 'btr', 'dia', 'masuk', 'di', 'pertengahan', 'musim', 'dan', 'ini', 'menjadi', 'debut', 'dia', 'menjadi', 'analyst', 'dan', 'berhasil', 'juara', 'bro', 'turun', 'tangan', 'menjadi', 'analyst', 'tim', 'mpl', 'untuk', 'menghentikan', 'liga', 'tani']",Non-Toxic,-1
​ @kh.fajrii si youtuber kecil sekarang jadi analis BTR terus juara mpl s17 😂😂,fajrii si youtuber kecil sekarang jadi analis BTR terus juara mpl s,fajrii si youtuber kecil sekarang jadi analis btr terus juara mpl s,"['fajrii', 'si', 'youtuber', 'kecil', 'sekarang', 'jadi', 'analis', 'btr', 'terus', 'juara', 'mpl', 's']","['fajrii', 'si', 'youtuber', 'kecil', 'sekarang', 'jadi', 'analis', 'btr', 'terus', 'juara', 'mpl', 's']",Non-Toxic,-1
"akhirnya Tim PUBG & ML Bigetron bareng2 ke paris,👏👏",akhirnya Tim PUBG ML Bigetron bareng ke paris,akhirnya tim pubg ml bigetron bareng ke paris,"['akhirnya', 'tim', 'pubg', 'ml', 'bigetron', 'bareng', 'ke', 'paris']","['akhirnya', 'tim', 'pubg', 'ml', 'bigetron', 'bareng', 'ke', 'paris']",Non-Toxic,-1
Ternyata dia tmn tongkrongan nya mas ade,Ternyata dia tmn tongkrongan nya mas ade,ternyata dia tmn tongkrongan nya mas ade,"['ternyata', 'dia', 'tmn', 'tongkrongan', 'nya', 'mas', 'ade']","['ternyata', 'dia', 'tmn', 'tongkrongan', 'nya', 'mas', 'ade']",Non-Toxic,-1
"Bro yang bosen bikin analisis onic juara Mulu akhirnya turun gunung biar dominasi onic berhenti 😅😅 salut buat player BTR dari mpl,mdl,ladies,coaching staff  BTR, para jimat BTR, dan Troopers yang mensupport BTR❤😊",Bro yang bosen bikin analisis onic juara Mulu akhirnya turun gunung biar dominasi onic berhenti salut buat player BTR dari mplmdlladiescoaching staff BTR para jimat BTR dan Troopers yang mensupport BTR,bro yang bosen bikin analisis onic juara mulu akhirnya turun gunung biar dominasi onic berhenti salut buat player btr dari mplmdlladiescoaching staff btr para jimat btr dan troopers yang mensupport btr,"['bro', 'yang', 'bosen', 'bikin', 'analisis', 'onic', 'juara', 'mulu', 'akhirnya', 'turun', 'gunung', 'biar', 'dominasi', 'onic', 'berhenti', 'salut', 'buat', 'player', 'btr', 'dari', 'mplmdlladiescoaching', 'staff', 'btr', 'para', 'jimat', 'btr', 'dan', 'troopers', 'yang', 'mensupport', 'btr']","['bro', 'yang', 'bosen', 'bikin', 'analisis', 'onic', 'juara', 'mulu', 'akhirnya', 'turun', 'gunung', 'biar', 'dominasi', 'onic', 'berhenti', 'salut', 'buat', 'player', 'btr', 'dari', 'mplmdlladiescoaching', 'staff', 'btr', 'para', 'jimat', 'btr', 'dan', 'troopers', 'yang', 'mensupport', 'btr']",Non-Toxic,-1
"Efek Coach adi out dari Onic lose
Efek coach adi out dari RRQ awalys Lose",Efek Coach adi out dari Onic lose Efek coach adi out dari RRQ awalys Lose,efek coach adi out dari onic lose efek coach adi out dari rrq awalys lose,"['efek', 'coach', 'adi', 'out', 'dari', 'onic', 'lose', 'efek', 'coach', 'adi', 'out', 'dari', 'rrq', 'awalys', 'lose']","['efek', 'coach', 'adi', 'out', 'dari', 'onic', 'lose', 'efek', 'coach', 'adi', 'out', 'dari', 'rrq', 'awalys', 'lose']",Non-Toxic,-1
​@dindamanisdanimoet-i7vgk ada hubungannya,ivgk ada hubungannya,ivgk ada hubungannya,"['ivgk', 'ada', 'hubungannya']","['ivgk', 'ada', 'hubungannya']",Non-Toxic,-1
Iya jir untung tidak teori poster,Iya jir untung tidak teori poster,iya jir untung tidak teori poster,"['iya', 'jir', 'untung', 'tidak', 'teori', 'poster']","['iya', 'jir', 'untung', 'tidak', 'teori', 'poster']",Non-Toxic,-1
campion nya gak di tulis.  karna predisinya onic.  poster tersedia hanya untuk onic.   wkwkkwkwkwk .akhirnya bgtron ter terrr...,campion nya gak di tulis karna predisinya onic poster tersedia hanya untuk onic wkwkkwkwkwk akhirnya bgtron ter terrr,campion nya gak di tulis karna predisinya onic poster tersedia hanya untuk onic wkwkkwkwkwk akhirnya bgtron ter terrr,"['campion', 'nya', 'gak', 'di', 'tulis', 'karna', 'predisinya', 'onic', 'poster', 'tersedia', 'hanya', 'untuk', 'onic', 'wkwkkwkwkwk', 'akhirnya', 'bgtron', 'ter', 'terrr']","['campion', 'nya', 'tidak', 'di', 'tulis', 'karna', 'predisinya', 'onic', 'poster', 'tersedia', 'hanya', 'untuk', 'onic', 'wkwkkwkwkwk', 'akhirnya', 'bgtron', 'ter', 'terrr']",Non-Toxic,-1
retri adalah penentu kemenangan,retri adalah penentu kemenangan,retri adalah penentu kemenangan,"['retri', 'adalah', 'penentu', 'kemenangan']","['retri', 'adalah', 'penentu', 'kemenangan']",Non-Toxic,-1
​ @dapeee. berarti 4 hero lainnya yang gk pake retry tidak akan menentukan kemengan,berarti hero lainnya yang gk pake retry tidak akan menentukan kemengan,berarti hero lainnya yang gk pake retry tidak akan menentukan kemengan,"['berarti', 'hero', 'lainnya', 'yang', 'gk', 'pake', 'retry', 'tidak', 'akan', 'menentukan', 'kemengan']","['berarti', 'hero', 'lainnya', 'yang', 'tidak', 'pake', 'retry', 'tidak', 'akan', 'menentukan', 'kemengan']",Non-Toxic,-1
Menit brpa komentar bilang teori poster bg,Menit brpa komentar bilang teori poster bg,menit brpa komentar bilang teori poster bg,"['menit', 'brpa', 'komentar', 'bilang', 'teori', 'poster', 'bg']","['menit', 'brpa', 'komentar', 'bilang', 'teori', 'poster', 'bg']",Non-Toxic,-1
​ @RizkySyahputra-l4q bisa baca coment sendiri  blok?👀👀👀,lq bisa baca coment sendiri blok,lq bisa baca coment sendiri blok,"['lq', 'bisa', 'baca', 'coment', 'sendiri', 'blok']","['lq', 'bisa', 'baca', 'coment', 'sendiri', 'blok']",Non-Toxic,-1
GERCEP BANGET WOI,GERCEP BANGET WOI,gercep banget woi,"['gercep', 'banget', 'woi']","['gercep', 'banget', 'woi']",Non-Toxic,-1
Thanks Bro,Thanks Bro,thanks bro,"['thanks', 'bro']","['thanks', 'bro']",Non-Toxic,-1
Respect,Respect,respect,['respect'],['respect'],Non-Toxic,-1
Makasi brroooo,Makasi brroooo,makasi brroooo,"['makasi', 'brroooo']","['makasi', 'brroooo']",Non-Toxic,-1
Tetep konsisten ya bang,Tetep konsisten ya bang,tetep konsisten ya bang,"['tetep', 'konsisten', 'ya', 'bang']","['tetep', 'konsisten', 'ya', 'bang']",Non-Toxic,-1
