text,cleaning,case_folding,tokenizing,normalisasi,label
Salut sama emman orang filipina yang mau tetap stay di btr .belajar dari kekalahan dullu goodjob,Salut sama emman orang filipina yang mau tetap stay di btr belajar dari kekalahan dullu goodjob,salut sama emman orang filipina yang mau tetap stay di btr belajar dari kekalahan dullu goodjob,"['salut', 'sama', 'emman', 'orang', 'filipina', 'yang', 'mau', 'tetap', 'stay', 'di', 'btr', 'belajar', 'dari', 'kekalahan', 'dullu', 'goodjob']","['salut', 'sama', 'emman', 'orang', 'filipina', 'yang', 'mau', 'tetap', 'stay', 'di', 'btr', 'belajar', 'dari', 'kekalahan', 'dullu', 'goodjob']",Non-Toxic
"Gg bgt btr,congrats ko ed penungguan yg sangat² lama daei s1 ggwp mor🔥🔥🔥",Gg bgt btrcongrats ko ed penungguan yg sangat lama daei s ggwp mor,gg bgt btrcongrats ko ed penungguan yg sangat lama daei s ggwp mor,"['gg', 'bgt', 'btrcongrats', 'ko', 'ed', 'penungguan', 'yg', 'sangat', 'lama', 'daei', 's', 'ggwp', 'mor']","['gg', 'banget', 'btrcongrats', 'ko', 'ed', 'penungguan', 'yang', 'sangat', 'lama', 'daei', 's', 'ggwp', 'mor']",Non-Toxic
Akhirnya gw nonton mpl lagi setelah sekian lama nyimak my SM ph..ada yg menarik season ini,Akhirnya gw nonton mpl lagi setelah sekian lama nyimak my SM phada yg menarik season ini,akhirnya gw nonton mpl lagi setelah sekian lama nyimak my sm phada yg menarik season ini,"['akhirnya', 'gw', 'nonton', 'mpl', 'lagi', 'setelah', 'sekian', 'lama', 'nyimak', 'my', 'sm', 'phada', 'yg', 'menarik', 'season', 'ini']","['akhirnya', 'gue', 'nonton', 'mpl', 'lagi', 'setelah', 'sekian', 'lama', 'nyimak', 'my', 'sama', 'phada', 'yang', 'menarik', 'season', 'ini']",Non-Toxic
Alhamdulillah btr juara🎉setelah sekian lama gw nungguin momen ini😮‍💨,Alhamdulillah btr juarasetelah sekian lama gw nungguin momen ini,alhamdulillah btr juarasetelah sekian lama gw nungguin momen ini,"['alhamdulillah', 'btr', 'juarasetelah', 'sekian', 'lama', 'gw', 'nungguin', 'momen', 'ini']","['alhamdulillah', 'btr', 'juarasetelah', 'sekian', 'lama', 'gue', 'nungguin', 'momen', 'ini']",Non-Toxic
"seruuuu bangett, ga bkin bosenn krna stiap match berbeda hero. gg btr 🎉",seruuuu bangett ga bkin bosenn krna stiap match berbeda hero gg btr,seruuuu bangett ga bkin bosenn krna stiap match berbeda hero gg btr,"['seruuuu', 'bangett', 'ga', 'bkin', 'bosenn', 'krna', 'stiap', 'match', 'berbeda', 'hero', 'gg', 'btr']","['seruuuu', 'bangett', 'tidak', 'bkin', 'bosenn', 'krna', 'stiap', 'match', 'berbeda', 'hero', 'gg', 'btr']",Non-Toxic
"Gg BTR NT ONIC, saking konsistennya onic sampai sekarang bisa dibalap sama tim lain",Gg BTR NT ONIC saking konsistennya onic sampai sekarang bisa dibalap sama tim lain,gg btr nt onic saking konsistennya onic sampai sekarang bisa dibalap sama tim lain,"['gg', 'btr', 'nt', 'onic', 'saking', 'konsistennya', 'onic', 'sampai', 'sekarang', 'bisa', 'dibalap', 'sama', 'tim', 'lain']","['gg', 'btr', 'nt', 'onic', 'saking', 'konsistennya', 'onic', 'sampai', 'sekarang', 'bisa', 'dibalap', 'sama', 'tim', 'lain']",Non-Toxic
Baru Kali ini Salaman akhir di Grandfinal ga ada yang murung,Baru Kali ini Salaman akhir di Grandfinal ga ada yang murung,baru kali ini salaman akhir di grandfinal ga ada yang murung,"['baru', 'kali', 'ini', 'salaman', 'akhir', 'di', 'grandfinal', 'ga', 'ada', 'yang', 'murung']","['baru', 'kali', 'ini', 'salaman', 'akhir', 'di', 'grandfinal', 'tidak', 'ada', 'yang', 'murung']",Non-Toxic
Sekian lama. GOODLUCK EMANN,Sekian lama GOODLUCK EMANN,sekian lama goodluck emann,"['sekian', 'lama', 'goodluck', 'emann']","['sekian', 'lama', 'goodluck', 'emann']",Non-Toxic
finally btr bbbbbbbonjourrrrr with style,finally btr bbbbbbbonjourrrrr with style,finally btr bbbbbbbonjourrrrr with style,"['finally', 'btr', 'bbbbbbbonjourrrrr', 'with', 'style']","['finally', 'btr', 'bbbbbbbonjourrrrr', 'with', 'style']",Non-Toxic
"akhirnya ada warna baru MPL Indo, bukan ngebosenin yg sudah langganan dihajar team luar",akhirnya ada warna baru MPL Indo bukan ngebosenin yg sudah langganan dihajar team luar,akhirnya ada warna baru mpl indo bukan ngebosenin yg sudah langganan dihajar team luar,"['akhirnya', 'ada', 'warna', 'baru', 'mpl', 'indo', 'bukan', 'ngebosenin', 'yg', 'sudah', 'langganan', 'dihajar', 'team', 'luar']","['akhirnya', 'ada', 'warna', 'baru', 'mpl', 'indo', 'bukan', 'ngebosenin', 'yang', 'sudah', 'langganan', 'dihajar', 'team', 'luar']",Non-Toxic
"""analisis MPL ID S17""
Tinggal nunggu videonya 🗿",analisis MPL ID S Tinggal nunggu videonya,analisis mpl id s tinggal nunggu videonya,"['analisis', 'mpl', 'id', 's', 'tinggal', 'nunggu', 'videonya']","['analisis', 'mpl', 'id', 's', 'tinggal', 'nunggu', 'videonya']",Non-Toxic
​ @AkaZusha  tenanggggg nunggu EWC dulu biar Setara Mas Ade🗿😹,tenanggggg nunggu EWC dulu biar Setara Mas Ade,tenanggggg nunggu ewc dulu biar setara mas ade,"['tenanggggg', 'nunggu', 'ewc', 'dulu', 'biar', 'setara', 'mas', 'ade']","['tenanggggg', 'nunggu', 'ewc', 'dulu', 'biar', 'setara', 'mas', 'ade']",Non-Toxic
​ @AkaZusha  berarti taktik btr-nya di bocorin dong mas. Auto dipecat,berarti taktik btrnya di bocorin dong mas Auto dipecat,berarti taktik btrnya di bocorin dong mas auto dipecat,"['berarti', 'taktik', 'btrnya', 'di', 'bocorin', 'dong', 'mas', 'auto', 'dipecat']","['berarti', 'taktik', 'btrnya', 'di', 'bocorin', 'dong', 'mas', 'auto', 'dipecat']",Non-Toxic
YouTuber kecil ternyata Analisis yang juara 🗿😹,YouTuber kecil ternyata Analisis yang juara,youtuber kecil ternyata analisis yang juara,"['youtuber', 'kecil', 'ternyata', 'analisis', 'yang', 'juara']","['youtuber', 'kecil', 'ternyata', 'analisis', 'yang', 'juara']",Non-Toxic
hertod winrate mplnya 100% jirr,hertod winrate mplnya jirr,hertod winrate mplnya jirr,"['hertod', 'winrate', 'mplnya', 'jirr']","['hertod', 'winrate', 'mplnya', 'jirr']",Non-Toxic
​ @lyfed2566 dari dulu penjelasan dia tuh bahasa nya bagus banget mudah dimengerti,dari dulu penjelasan dia tuh bahasa nya bagus banget mudah dimengerti,dari dulu penjelasan dia tuh bahasa nya bagus banget mudah dimengerti,"['dari', 'dulu', 'penjelasan', 'dia', 'tuh', 'bahasa', 'nya', 'bagus', 'banget', 'mudah', 'dimengerti']","['dari', 'dulu', 'penjelasan', 'dia', 'tuh', 'bahasa', 'nya', 'bagus', 'banget', 'mudah', 'dimengerti']",Non-Toxic
Suaranya hertod kedengaran walau dibaca doang,Suaranya hertod kedengaran walau dibaca doang,suaranya hertod kedengaran walau dibaca doang,"['suaranya', 'hertod', 'kedengaran', 'walau', 'dibaca', 'doang']","['suaranya', 'hertod', 'kedengaran', 'walau', 'dibaca', 'doang']",Non-Toxic
Wkwk kepikiran juga komen gini,Wkwk kepikiran juga komen gini,wkwk kepikiran juga komen gini,"['wkwk', 'kepikiran', 'juga', 'komen', 'gini']","['wkwk', 'kepikiran', 'juga', 'komen', 'gini']",Non-Toxic
hertod effect😂,hertod effect,hertod effect,"['hertod', 'effect']","['hertod', 'effect']",Non-Toxic
Gilaa si hertod baru join analisis mpl langsung juara hhhhhhh gokil lu...,Gilaa si hertod baru join analisis mpl langsung juara hhhhhhh gokil lu,gilaa si hertod baru join analisis mpl langsung juara hhhhhhh gokil lu,"['gilaa', 'si', 'hertod', 'baru', 'join', 'analisis', 'mpl', 'langsung', 'juara', 'hhhhhhh', 'gokil', 'lu']","['gilaa', 'si', 'hertod', 'baru', 'join', 'analisis', 'mpl', 'langsung', 'juara', 'hhhhhhh', 'gokil', 'lu']",Non-Toxic
bangga bngt gila,bangga bngt gila,bangga bngt gila,"['bangga', 'bngt', 'gila']","['bangga', 'bngt', 'gila']",Non-Toxic
konteks hertod?,konteks hertod,konteks hertod,"['konteks', 'hertod']","['konteks', 'hertod']",Non-Toxic
​ @kh.fajrii heroisgod atau dikenal hertod saat ini merupakan analyst dari team btr. Dia masuk di pertengahan musim. Dan ini menjadi debut dia menjadi analyst dan berhasil juara. Bro turun tangan menjadi analyst tim mpl untuk menghentikan liga tani😂,fajrii heroisgod atau dikenal hertod saat ini merupakan analyst dari team btr Dia masuk di pertengahan musim Dan ini menjadi debut dia menjadi analyst dan berhasil juara Bro turun tangan menjadi analyst tim mpl untuk menghentikan liga tani,fajrii heroisgod atau dikenal hertod saat ini merupakan analyst dari team btr dia masuk di pertengahan musim dan ini menjadi debut dia menjadi analyst dan berhasil juara bro turun tangan menjadi analyst tim mpl untuk menghentikan liga tani,"['fajrii', 'heroisgod', 'atau', 'dikenal', 'hertod', 'saat', 'ini', 'merupakan', 'analyst', 'dari', 'team', 'btr', 'dia', 'masuk', 'di', 'pertengahan', 'musim', 'dan', 'ini', 'menjadi', 'debut', 'dia', 'menjadi', 'analyst', 'dan', 'berhasil', 'juara', 'bro', 'turun', 'tangan', 'menjadi', 'analyst', 'tim', 'mpl', 'untuk', 'menghentikan', 'liga', 'tani']","['fajrii', 'heroisgod', 'atau', 'dikenal', 'hertod', 'saat', 'ini', 'merupakan', 'analyst', 'dari', 'team', 'btr', 'dia', 'masuk', 'di', 'pertengahan', 'musim', 'dan', 'ini', 'menjadi', 'debut', 'dia', 'menjadi', 'analyst', 'dan', 'berhasil', 'juara', 'bro', 'turun', 'tangan', 'menjadi', 'analyst', 'tim', 'mpl', 'untuk', 'menghentikan', 'liga', 'tani']",Non-Toxic
​ @kh.fajrii si youtuber kecil sekarang jadi analis BTR terus juara mpl s17 😂😂,fajrii si youtuber kecil sekarang jadi analis BTR terus juara mpl s,fajrii si youtuber kecil sekarang jadi analis btr terus juara mpl s,"['fajrii', 'si', 'youtuber', 'kecil', 'sekarang', 'jadi', 'analis', 'btr', 'terus', 'juara', 'mpl', 's']","['fajrii', 'si', 'youtuber', 'kecil', 'sekarang', 'jadi', 'analis', 'btr', 'terus', 'juara', 'mpl', 's']",Non-Toxic
"akhirnya Tim PUBG & ML Bigetron bareng2 ke paris,👏👏",akhirnya Tim PUBG ML Bigetron bareng ke paris,akhirnya tim pubg ml bigetron bareng ke paris,"['akhirnya', 'tim', 'pubg', 'ml', 'bigetron', 'bareng', 'ke', 'paris']","['akhirnya', 'tim', 'pubg', 'ml', 'bigetron', 'bareng', 'ke', 'paris']",Non-Toxic
Ternyata dia tmn tongkrongan nya mas ade,Ternyata dia tmn tongkrongan nya mas ade,ternyata dia tmn tongkrongan nya mas ade,"['ternyata', 'dia', 'tmn', 'tongkrongan', 'nya', 'mas', 'ade']","['ternyata', 'dia', 'tmn', 'tongkrongan', 'nya', 'mas', 'ade']",Non-Toxic
"Bro yang bosen bikin analisis onic juara Mulu akhirnya turun gunung biar dominasi onic berhenti 😅😅 salut buat player BTR dari mpl,mdl,ladies,coaching staff  BTR, para jimat BTR, dan Troopers yang mensupport BTR❤😊",Bro yang bosen bikin analisis onic juara Mulu akhirnya turun gunung biar dominasi onic berhenti salut buat player BTR dari mplmdlladiescoaching staff BTR para jimat BTR dan Troopers yang mensupport BTR,bro yang bosen bikin analisis onic juara mulu akhirnya turun gunung biar dominasi onic berhenti salut buat player btr dari mplmdlladiescoaching staff btr para jimat btr dan troopers yang mensupport btr,"['bro', 'yang', 'bosen', 'bikin', 'analisis', 'onic', 'juara', 'mulu', 'akhirnya', 'turun', 'gunung', 'biar', 'dominasi', 'onic', 'berhenti', 'salut', 'buat', 'player', 'btr', 'dari', 'mplmdlladiescoaching', 'staff', 'btr', 'para', 'jimat', 'btr', 'dan', 'troopers', 'yang', 'mensupport', 'btr']","['bro', 'yang', 'bosen', 'bikin', 'analisis', 'onic', 'juara', 'mulu', 'akhirnya', 'turun', 'gunung', 'biar', 'dominasi', 'onic', 'berhenti', 'salut', 'buat', 'player', 'btr', 'dari', 'mplmdlladiescoaching', 'staff', 'btr', 'para', 'jimat', 'btr', 'dan', 'troopers', 'yang', 'mensupport', 'btr']",Non-Toxic
"Efek Coach adi out dari Onic lose
Efek coach adi out dari RRQ awalys Lose",Efek Coach adi out dari Onic lose Efek coach adi out dari RRQ awalys Lose,efek coach adi out dari onic lose efek coach adi out dari rrq awalys lose,"['efek', 'coach', 'adi', 'out', 'dari', 'onic', 'lose', 'efek', 'coach', 'adi', 'out', 'dari', 'rrq', 'awalys', 'lose']","['efek', 'coach', 'adi', 'out', 'dari', 'onic', 'lose', 'efek', 'coach', 'adi', 'out', 'dari', 'rrq', 'awalys', 'lose']",Non-Toxic
​@dindamanisdanimoet-i7vgk ada hubungannya,ivgk ada hubungannya,ivgk ada hubungannya,"['ivgk', 'ada', 'hubungannya']","['ivgk', 'ada', 'hubungannya']",Non-Toxic
Iya jir untung tidak teori poster,Iya jir untung tidak teori poster,iya jir untung tidak teori poster,"['iya', 'jir', 'untung', 'tidak', 'teori', 'poster']","['iya', 'jir', 'untung', 'tidak', 'teori', 'poster']",Non-Toxic
campion nya gak di tulis.  karna predisinya onic.  poster tersedia hanya untuk onic.   wkwkkwkwkwk .akhirnya bgtron ter terrr...,campion nya gak di tulis karna predisinya onic poster tersedia hanya untuk onic wkwkkwkwkwk akhirnya bgtron ter terrr,campion nya gak di tulis karna predisinya onic poster tersedia hanya untuk onic wkwkkwkwkwk akhirnya bgtron ter terrr,"['campion', 'nya', 'gak', 'di', 'tulis', 'karna', 'predisinya', 'onic', 'poster', 'tersedia', 'hanya', 'untuk', 'onic', 'wkwkkwkwkwk', 'akhirnya', 'bgtron', 'ter', 'terrr']","['campion', 'nya', 'tidak', 'di', 'tulis', 'karna', 'predisinya', 'onic', 'poster', 'tersedia', 'hanya', 'untuk', 'onic', 'wkwkkwkwkwk', 'akhirnya', 'bgtron', 'ter', 'terrr']",Non-Toxic
retri adalah penentu kemenangan,retri adalah penentu kemenangan,retri adalah penentu kemenangan,"['retri', 'adalah', 'penentu', 'kemenangan']","['retri', 'adalah', 'penentu', 'kemenangan']",Non-Toxic
​ @dapeee. berarti 4 hero lainnya yang gk pake retry tidak akan menentukan kemengan,berarti hero lainnya yang gk pake retry tidak akan menentukan kemengan,berarti hero lainnya yang gk pake retry tidak akan menentukan kemengan,"['berarti', 'hero', 'lainnya', 'yang', 'gk', 'pake', 'retry', 'tidak', 'akan', 'menentukan', 'kemengan']","['berarti', 'hero', 'lainnya', 'yang', 'tidak', 'pake', 'retry', 'tidak', 'akan', 'menentukan', 'kemengan']",Non-Toxic
Menit brpa komentar bilang teori poster bg,Menit brpa komentar bilang teori poster bg,menit brpa komentar bilang teori poster bg,"['menit', 'brpa', 'komentar', 'bilang', 'teori', 'poster', 'bg']","['menit', 'brpa', 'komentar', 'bilang', 'teori', 'poster', 'bg']",Non-Toxic
​ @RizkySyahputra-l4q bisa baca coment sendiri  blok?👀👀👀,lq bisa baca coment sendiri blok,lq bisa baca coment sendiri blok,"['lq', 'bisa', 'baca', 'coment', 'sendiri', 'blok']","['lq', 'bisa', 'baca', 'coment', 'sendiri', 'blok']",Non-Toxic
GERCEP BANGET WOI,GERCEP BANGET WOI,gercep banget woi,"['gercep', 'banget', 'woi']","['gercep', 'banget', 'woi']",Non-Toxic
Thanks Bro,Thanks Bro,thanks bro,"['thanks', 'bro']","['thanks', 'bro']",Non-Toxic
Respect,Respect,respect,['respect'],['respect'],Non-Toxic
Makasi brroooo,Makasi brroooo,makasi brroooo,"['makasi', 'brroooo']","['makasi', 'brroooo']",Non-Toxic
Tetep konsisten ya bang,Tetep konsisten ya bang,tetep konsisten ya bang,"['tetep', 'konsisten', 'ya', 'bang']","['tetep', 'konsisten', 'ya', 'bang']",Non-Toxic
Niat amat,Niat amat,niat amat,"['niat', 'amat']","['niat', 'amat']",Non-Toxic
Idoll,Idoll,idoll,['idoll'],['idoll'],Non-Toxic
Makasih,Makasih,makasih,['makasih'],['terima kasih'],Non-Toxic
rispek broo sehat' orang baik,rispek broo sehat orang baik,rispek broo sehat orang baik,"['rispek', 'broo', 'sehat', 'orang', 'baik']","['rispek', 'broo', 'sehat', 'orang', 'baik']",Non-Toxic
nice,nice,nice,['nice'],['nice'],Non-Toxic
T O P untuk kau bang..,T O P untuk kau bang,t o p untuk kau bang,"['t', 'o', 'p', 'untuk', 'kau', 'bang']","['t', 'o', 'p', 'untuk', 'kau', 'bang']",Non-Toxic
Tengkyuu bang,Tengkyuu bang,tengkyuu bang,"['tengkyuu', 'bang']","['tengkyuu', 'bang']",Non-Toxic
Terima kasih,Terima kasih,terima kasih,"['terima', 'kasih']","['terima', 'kasih']",Non-Toxic
rispekkk,rispekkk,rispekkk,['rispekkk'],['rispekkk'],Non-Toxic
1:31:04,,,[],[],Non-Toxic
"GG sih lu bro, tepuk tangan gw 👏",GG sih lu bro tepuk tangan gw,gg sih lu bro tepuk tangan gw,"['gg', 'sih', 'lu', 'bro', 'tepuk', 'tangan', 'gw']","['gg', 'sih', 'lu', 'bro', 'tepuk', 'tangan', 'gue']",Non-Toxic
Geloo mmg kyk sih perjuangannya salah satu tim yg TDK pernah gagal play off,Geloo mmg kyk sih perjuangannya salah satu tim yg TDK pernah gagal play off,geloo mmg kyk sih perjuangannya salah satu tim yg tdk pernah gagal play off,"['geloo', 'mmg', 'kyk', 'sih', 'perjuangannya', 'salah', 'satu', 'tim', 'yg', 'tdk', 'pernah', 'gagal', 'play', 'off']","['geloo', 'mmg', 'kyk', 'sih', 'perjuangannya', 'salah', 'satu', 'tim', 'yang', 'tidak', 'pernah', 'gagal', 'play', 'off']",Toxic
Akhir akhir nya nanti pulang di msc kena Falcon dan tlph,Akhir akhir nya nanti pulang di msc kena Falcon dan tlph,akhir akhir nya nanti pulang di msc kena falcon dan tlph,"['akhir', 'akhir', 'nya', 'nanti', 'pulang', 'di', 'msc', 'kena', 'falcon', 'dan', 'tlph']","['akhir', 'akhir', 'nya', 'nanti', 'pulang', 'di', 'msc', 'kena', 'falcon', 'dan', 'tlph']",Non-Toxic
​ @DerivaADi  Onic ph kaliii,Onic ph kaliii,onic ph kaliii,"['onic', 'ph', 'kaliii']","['onic', 'ph', 'kaliii']",Non-Toxic
"​​ @DerivaADi  sorry ye buat king btr ma engga, kalo untuk onic iya😂🎉",sorry ye buat king btr ma engga kalo untuk onic iya,sorry ye buat king btr ma engga kalo untuk onic iya,"['sorry', 'ye', 'buat', 'king', 'btr', 'ma', 'engga', 'kalo', 'untuk', 'onic', 'iya']","['sorry', 'ye', 'buat', 'king', 'btr', 'ma', 'engga', 'kalau', 'untuk', 'onic', 'iya']",Non-Toxic
Aamiin,Aamiin,aamiin,['aamiin'],['aamiin'],Non-Toxic
EWC kalik,EWC kalik,ewc kalik,"['ewc', 'kalik']","['ewc', 'kalik']",Non-Toxic
sangat bahagia liat zans di bantai,sangat bahagia liat zans di bantai,sangat bahagia liat zans di bantai,"['sangat', 'bahagia', 'liat', 'zans', 'di', 'bantai']","['sangat', 'bahagia', 'liat', 'zans', 'di', 'bantai']",Non-Toxic
Sonic ya luu,Sonic ya luu,sonic ya luu,"['sonic', 'ya', 'luu']","['sonic', 'ya', 'luu']",Non-Toxic
Gila nael GG cok😂,Gila nael GG cok,gila nael gg cok,"['gila', 'nael', 'gg', 'cok']","['gila', 'nael', 'gg', 'cok']",Non-Toxic
